Namn,Postadress,Sprit,Vin,Starköl,AJA,ALP,Serveringstider
Linnea & Basilika,Drottninggatan 17,,,,,,11:00—21:30 11:00—22:30
Linnéaträdgården,Mariehällsvägen 100,,,,,,11:00—01:00 11:00—00:30 11:00—23:30 11:00—03:00
Lion Bar Helsingborg,Bruksgatan 2,,,,,,11:00—03:00 14:00—00:30
Loftet,Tursköpsvägen 154,,,,,,11:00—01:00 11:00—01:00
Lottenlund Estate Events,Lottenlundsvägen 2,,,,,,11:00—23:00
M/S Tilda,Kungstorget 6/ Öresund ( fartyg ),,,,,,11:00—03:00 11:00—01:00
Machu Picchu Andres,Kajpromenaden 10,,,,,,11:00—01:00 11:00—00:30 11:00—01:00
Madame Moustache,Norra Storgatan 9,,,,,,11:00—01:00 11:00—03:00 11:00—00:00 11:30—00:00
Mammas Kök,Rååvägen 31,,,,,,11:00—01:00 11:00—00:30
MAVI,Fågelsångsgatan 1,,,,,,12:00—01:00
Miatorps Pizzeria & Restaurang,Planteringsvägen 111,,,,,,11:00—23:00
Milano Restaurang & Pizzeria,Ättekullagatan 2,,,,,,11:00—01:00 11:00—01:00
Mindpark,Rönnowsgatan 8 C,,,,,,11:30—01:00
Miss Alice Krog & Butik,Aspavägen 418,,,,,,11:00—01:00
Myzuki,Elinebergsplatsen 5,,,,,,11:00—23:00
Mörarps Pizzeria,Bjuvsleden 11,,,,,,11:00—22:00
Nabo Matbar,Drottninggatan 124,,,,,,11:00—01:00 11:00—00:30
Nancy´s Steakhouse,Marknadsvägen 9,,,,,,11:00—01:00
Nihon Sushi,Badhusgatan 6,,,,,,11:00—01:00 11:00—00:30
NOC/H,Bruksgatan 2,,,,,,11:00—03:00 03:00—05:00
Noise,S Kyrkogatan 7,,,,,,11:00—03:00 03:00—05:00
Norrbro Kök & Bar,Norrbroplatsen 7,,,,,,11:00—01:00 11:00—00:30 11:00—01:00
O´Learys Sportsbar,Rådhustorget 10,,,,,,11:00—03:00 11:00—02:00 11:00—01:00 11:00—00:30
Odd Fellow,Trädgårdsgatan 13,,,,,,11:00—01:00
Old Times,Bruksgatan 24,,,,,,11:00—01:00 11:00—00:30
Olsons Skafferi,Mariagatan 6,,,,,,11:00—01:00 11:00—00:30 11:00—00:30 11:00—01:00
Olympia,Filbornavägen 5,,,,,,11:00—01:00 11:00—01:00 11:00—01:00 11:00—01:00
Olympia Bowling,Idrottens Hus,,,,,,11:00—03:00 11:00—01:00
Olympia Restaurang & Pizzeria,Magnus Erikssons gata 8,,,,,,11:00—23:00
Omakaze Sushi,Rydebäcks stationsgatan 51,,,,,,15:00—21:00 15:00—22:00
OSS Kitchen,Himmelriksgränden 2,,,,,,11:00—22:00 11:00—01:00 11:00—00:00
Oxhallen,Cindersgatan 4,,,,,,11:00—01:00 11:00—00:30
Parapeten,"Hamnpiren, Norra Hamnen",,,,,,11:00—01:00 11:00—03:00
Pausa hos oss - Fredriksdal,Oscar trapps väg 10,,,,,,11:00—16:00 16:00—20:00
Pellegrino,Norra Storgatan 15,,,,,,11:00—01:00 11:00—00:30
Phuun Thai,Hamntorget 3,,,,,,11:00—00:00 11:00—00:00
Phuun Thai Heden,Planteringsvägen 112,,,,,,11:00—21:00
Pikado,Landskronavägen 1-3,,,,,,11:00—03:00
Pinchos Söder,Södergatan 32,,,,,,11:00—01:00
Pitcher´s,Södergatan 32,,,,,,11:00—03:00 11:00—00:30
Primo Il Forno,Tågagatan 74,,,,,,11:00—00:00 11:00—00:00
Pronto i Påarp,Ekebergavägen 3,,,,,,11:00—00:00 11:00—00:00
Pub Nessie,Möllegränden 3,,,,,,11:00—01:00 11:00—00:30
På Piren,Hamnplan,,,,,,11:00—01:00 11:00—01:00 11:00—01:00 11:00—01:00
Påarps Pizzeria,Lokföraregatan 24,,,,,,11:00—00:30
Pålsjö Krog,Drottninggatan 151,,,,,,11:00—01:00 11:00—01:00 11:00—01:00
Pålsjöpaviljongen,Pålsjöpaviljongen 2,,,,,,11:00—01:00 11:00—01:00
Radisson Blu Hotel Metropol,Carl Krooks gata 16,,,,,,11:00—03:00 11:00—00:30 11:00—01:00
Regio,Drottninggatan 100,,,,,,11:00—01:00 11:00—01:00
Restaurang & Pizzeria i Bårslöv,Snödroppegatan 1,,,,,,12:00—22:00
Restaurang Ankaret Råå,Västindiegatan 22,,,,,,12:00—00:00 12:00—00:00
Restaurang Babou,Kajpromenaden 21,,,,,,11:00—01:00 11:00—00:30
Restaurang Créo,Bruksgatan 18,,,,,,11:30—02:00 11:00—02:00
Restaurang Edelweiss,Drottninggatan 15,,,,,,11:00—01:00 11:00—01:00 11:00—00:30
Restaurang Le Cardinal,Södra Kyrkogatan 9,,,,,,11:00—03:00 11:00—04:00 11:00—05:00
Restaurang Marconi,Drottninggatan 72,,,,,,11:00—22:00 11:00—22:00
Restaurang Pub Ro,Båthusgatan 11,,,,,,11:00—01:00 11:00—00:30
Restaurang Yoko,Järnvägsgatan 3,,,,,,11:00—03:00 11:00—01:00 11:00—01:00 03:00—05:00
Restaurangskolan,"Hamnpaviljongen, Parapeten",,,,,,11:00—15:00 11:00—01:00
Rocco´s Wine & Dine,Båthusgatan 15,,,,,,11:00—01:00 11:00—00:00 11:00—00:00
Rodis Pizzeria,Blåkullagatan 3,,,,,,11:00—01:00 11:00—00:30
Rosendal Slott,Rosendal 107,,,,,,11:00—01:00 11:00—00:30
Rosengårdens pizzeria & restaurang,Skaragatan 90,,,,,,11:00—00:30
Roys Fisk o Servering,Kajpromenaden 21,,,,,,11:00—01:00 11:00—00:30
Rydebäcks Pizzeria,Frösgatan 7,,,,,,11:00—01:00 11:00—00:30
Röda Kvarn,Karlsgatan 7,,,,,,16:30—22:00 11:00—01:00
Sams Bar,Carl Krooks gata 50,,,,,,11:00—03:00 11:00—00:30
Scandic Go Gasverksgatan 11,Gasverksgatan 11,,,,,,11:00—01:00
Scandic Hotel,Florettgatan 41,,,,,,11:00—01:00 11:00—01:00
Scandic Oceanhamnen,Bröderna Pihls gränd 2,,,,,,11:00—01:00 11:00—01:00 11:00—00:30
Shark,Södra storgatan 16,,,,,,11:00—22:00
Sillen & Makrillen,Norra Gröningen 1,,,,,,11:00—02:00 11:00—01:00 02:00—03:00
Skonaren Nina,Kajpromenaden,,,,,,12:00—01:00
Small Britain,"Rosendals Slott - Kalvstallet, Rosendals",,,,,,11:00—01:00 11:00—01:00
Sofiero Slott,Sofierovägen 31,,,,,,11:00—02:00 11:00—01:00 11:00—02:00
Sofiero slottsrestaurang Orangeriet,Sofierovägen 131,,,,,,11:00—02:00 11:00—01:00 11:00—01:00
Soho no.5,Drottninghögsvägen 5,,,,,,11:00—01:00
Sorella,Drottninggatan 88,,,,,,11:00—22:30 11:00—21:30
Spectrum,Kullagatan 47,,,,,,12:00—01:00 12:00—23:30 11:00—01:00
Spelpalatset,Gasverksgatan 22,,,,,,11:00—01:00
Strandhuset,Drottninggatan 251,,,,,,11:30—01:00 12:00—00:30 11:00—01:00
Stubinen,Drottninggatan 30,,,,,,11:00—01:00 11:00—00:30
